date; entreprise; etat; lien
21/01; Opus Recruitment Solutions; peu probable d'etre rappelé, Node/React; https://www.linkedin.com/jobs/view/4130525031/?eBP=CwEAAAGUiV37IpLcgtOQ_rs1wacHYMPPVlCyK_0LGqwuXfCTh0TkeNaRQCPRtkoJZbFuH2CtINBCBE36LwIEk8qQX3Wg6uKkzdAATD47oX1PC96zEf5zCUJdqpn2oqnIzKTIqLS1CvR6O4FeetuOKSHNwbuPR2LkNOjWXBL6bb9zVx4EjScv_08Xhvrs-rZtGj8vOc4Hg-WR3z83Zxk0rE-NDzl8iPSlph9HZzzqGbUxJ4IIYHsP89P62OM5fPRaCz6r8QayplrrVIl-ARL3j58KuGHPSLUcH6O3neOFZV23DgeDxcEbILjQVR1kvAuc5J2KhAdjFjr-jhpja4TCFgg8xhmway4qnaZMOWeduusbsB7qeSVp3aMC02NPKmmUXBCDdKW9h5FHgOzvEPuwZskOROKS5ZnZaLx-9hnOb0-kIdRGXqNYptkiwy7FmNSaa5aup-DcO0U-umk3ogWx9abzzhmcM5JVkTLiVG0t5MN8pfNvUmyoEQY9o1B7VFPrKhaxVyGlr1k&refId=HvTQK2z2E4C1gWGI97%2FiKw%3D%3D&trackingId=Mw2OkV2Byy6pMyk%2BkNHz5Q%3D%3D&trk=flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3B11Xro9ZjQOKxxTzanXawIA%3D%3D&lici=Mw2OkV2Byy6pMyk%2BkNHz5Q%3D%3D
21/01; Urban Linker; Node.js/React; https://www.linkedin.com/jobs/view/4124973857/?eBP=CwEAAAGUiV37IkMqSwKN-Pn9HUBTHQzzrmk6tsBsiJLIyVGamLdOvgkYdT6ZIn7uHwWUprJWwi8n3A2U8etZROMJNBDbqzWdHuaCLjwi4gUOv65IDHgK81_yyAdfd10QcSo93d8T-pUbD73QqKdLsWwG7XNDEDtyLDDuoIBtZeuclxZazsa-FINtPlaop8R_44kN3HG87Ut1lcOfqelCjH_80po8rZBMYwliUllmlZllrhcMujKuGso4wcEwJ6LOn0532L0zG-87NOqyMh0V98nRfDQSdvgpo3l55wd8D9_CF9_OM5vYZENFs5_4-vNefOZj4-sW_d_uXDvIai-ONkNbhnpst6_FOh_7UcIUMrJkZ07Mp-RN-llHPFevuZ_4-eyC6nNNfkLfAwKKbE5OTd9V1NuRFJZR1QGGcIgQ-xfV-sE3hb-A9gukU8uMKBh11xpl6p6P-J5N6ZUE724PBHpYatfIf0c4hO_WQfycbp1cXRG593qlF7rqNF5ZR-8UkVbgS307A8t39g&refId=HvTQK2z2E4C1gWGI97%2FiKw%3D%3D&trackingId=49ofKWSYREzusRq3tuWhyQ%3D%3D&trk=flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BTzUtUoyBSvuKDdUYEwfA3w%3D%3D&lici=49ofKWSYREzusRq3tuWhyQ%3D%3D
21/01; TEC Partners; React/Next/Node; https://www.linkedin.com/jobs/view/4114824280/?eBP=CwEAAAGUiV37Izfm9r6x0HS3jsgg5Tf9GkwTzsgyhNRFWBpDUIerJLUno4SJfJywNHlZhtUJzmIHzhHZHNtlbZyAvAdN8rG9MZeTUoNbp10xsyLbBj77xBC4RDnIB01ph5l-4jAiVZfiTu-yjTy4KWZct4W0sI71RqYQNgHMvMj90asBu5iCmJqjdR_7lvR1R6jdQmCWowMk0VZFwApT4q2WRwelrpZBijTACDrIzofFBuVsfphC_8jcqD0LjD9f97cfjl1wPqXqGsppD69BpNq8o4x4VkEj_EGXjI7B3S_nMS5ZSbHu5Yo--mcTRJgUlqRlLNGF20qmnTDl8FgbNwD3lf8eM7ar_c1JKdBzjq762chGe2DkqtojYW_t2QnZ10lfpvvDzKLJIyxClmrXu9UGeYtPghOQRMFD_nO7GYVHlbD8yATBHNmkZJ_zaPU7XOquNnJ0n5lNPOBY3Gp3EeDk4lDWaTFRJy4j2TQIiGRax3vjs3UanD8KvG9S9YM8h-5jvphnp8_KrA&refId=HvTQK2z2E4C1gWGI97%2FiKw%3D%3D&trackingId=JR8Oia%2Bv8eqEHDiiaap9lQ%3D%3D&trk=flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BEaLIkM3WR02PgUmm0ENRfg%3D%3D&lici=JR8Oia%2Bv8eqEHDiiaap9lQ%3D%3D
22/01; Elmut; React/Node; https://www.welcometothejungle.com/fr/companies/elmut/jobs/developpeur-fullstack-nest-js-react-js_paris?q=a3a68153f8cfd60f1aa48e2b1848f38b&o=1493e6b1-fac0-40b4-8da5-1df12be31874
22/01; RedPill; React/Node; http://welcometothejungle.com/fr/companies/redpill/jobs/developpeur-fullstack-h-f_paris_REDPI_6D7499J?q=341ad21e9c9e7d7ce0bbd5f5d4a898a9&o=d8553634-7c3a-4b9d-9ddc-c3e71d8659d3&p=true
22/01; The Bradery; React/Node/React-Native; https://www.welcometothejungle.com/fr/companies/the-bradery/jobs/senior-fullstack-engineer_paris_TB_qQLqxGq?q=57fcb1d262a3704ed907e7c7807f83cb&o=3a886c8f-0112-4f6f-8fea-01fb3d454137
22/01; Diggers Factory; React/Node; https://www.welcometothejungle.com/fr/companies/diggers-factory/jobs/developpeur-fullstack-js-ts-cdi_paris?q=57fcb1d262a3704ed907e7c7807f83cb&o=90f270b6-a857-4382-8424-2e6bcc238bb5
22/01; JobGlober; Node/react; https://www.welcometothejungle.com/fr/companies/jobglober/jobs/solutions-engineer-h-f-x_paris?q=a3a68153f8cfd60f1aa48e2b1848f38b&o=0285577c-d23a-417f-b026-ce367b6fafe0
22/01; Spartes; Société de conseil qui veut echanger; //
24/01; Theodo; Société de conseil qui veut echanger; //
